Time		Xc		Yc		Zc		Xn		Yn		Zn		Xa		Ya		Za
3720		-1.23901e+07		3.52635e+06		3.52635e+06		-1.23822e+07		3.50245e+06		3.47479e+06		-1.23822e+07		3.50213e+06		3.47466e+06		
3780		-1.25407e+07		3.3711e+06		3.3711e+06		-1.25317e+07		3.34648e+06		3.31859e+06		-1.25316e+07		3.34615e+06		3.31846e+06		
3840		-1.26839e+07		3.21384e+06		3.21384e+06		-1.26736e+07		3.1885e+06		3.16041e+06		-1.26736e+07		3.18817e+06		3.16027e+06		
3900		-1.28196e+07		3.05469e+06		3.05469e+06		-1.28081e+07		3.02865e+06		3.00037e+06		-1.2808e+07		3.02831e+06		3.00022e+06		
3960		-1.29478e+07		2.89377e+06		2.89377e+06		-1.29351e+07		2.86702e+06		2.83857e+06		-1.2935e+07		2.86668e+06		2.83841e+06		
4020		-1.30687e+07		2.7312e+06		2.7312e+06		-1.30546e+07		2.70374e+06		2.67513e+06		-1.30545e+07		2.70339e+06		2.67497e+06		
4080		-1.31821e+07		2.56707e+06		2.56707e+06		-1.31667e+07		2.53892e+06		2.51016e+06		-1.31666e+07		2.53857e+06		2.51e+06		
4140		-1.32882e+07		2.4015e+06		2.4015e+06		-1.32713e+07		2.37266e+06		2.34378e+06		-1.32712e+07		2.3723e+06		2.3436e+06		
4200		-1.33868e+07		2.2346e+06		2.2346e+06		-1.33685e+07		2.20507e+06		2.17607e+06		-1.33684e+07		2.20471e+06		2.1759e+06		
4260		-1.34781e+07		2.06647e+06		2.06647e+06		-1.34583e+07		2.03625e+06		2.00716e+06		-1.34582e+07		2.0359e+06		2.00698e+06		
4320		-1.3562e+07		1.8972e+06		1.8972e+06		-1.35406e+07		1.86632e+06		1.83714e+06		-1.35405e+07		1.86596e+06		1.83696e+06		
4380		-1.36385e+07		1.72691e+06		1.72691e+06		-1.36156e+07		1.69536e+06		1.66612e+06		-1.36154e+07		1.695e+06		1.66593e+06		
4440		-1.37077e+07		1.55568e+06		1.55568e+06		-1.36831e+07		1.52348e+06		1.49419e+06		-1.3683e+07		1.52311e+06		1.49399e+06		
4500		-1.37695e+07		1.38362e+06		1.38362e+06		-1.37433e+07		1.35078e+06		1.32145e+06		-1.37431e+07		1.35041e+06		1.32125e+06		
4560		-1.3824e+07		1.21082e+06		1.21082e+06		-1.3796e+07		1.17735e+06		1.148e+06		-1.37959e+07		1.17698e+06		1.14779e+06		
4620		-1.38711e+07		1.03738e+06		1.03738e+06		-1.38414e+07		1.00329e+06		973934		-1.38412e+07		1.00292e+06		973720		
